countrycode,closing_date,ebitda,r_d_expenses_operating_revenue,research_development_expenses,number_of_employees,Acquired stake (%)_0_10,Acquired stake (%)_10_20,Acquired stake (%)_20_30,Acquired stake (%)_30_40,Acquired stake (%)_40_50,Acquired stake (%)_0_25,Acquired stake (%)_25_50,Acquired stake (%)_0_50,Final stake (%)_0_10,Final stake (%)_10_20,Final stake (%)_20_30,Final stake (%)_30_40,Final stake (%)_40_50,Final stake (%)_0_25,Final stake (%)_25_50,Score-protecting minority investors,Reform,is_reform
DE,1997,307286421.0,-0.3296631855426079,0.0,1571.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DE,1998,409238022.0,-0.3296631855426079,0.0,2384.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DE,1999,-1626930.0,7.324503988740258,2080958.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DE,2000,2673632993.0,7.233671409507048,1040971794.0,31928.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DE,2001,381502882.0,5.779875717076086,1198888434.0,38481.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DE,2002,6694785621.0,5.070207876422685,1623356185.0,206527.0,0,0,2,0,0,2,0,2,0,0,0,0,2,0,2,,,
DE,2003,12321684111.0,11.23281783991948,3472242063.0,227043.0,1,1,0,2,0,2,2,4,0,0,0,3,1,0,4,,,
DE,2004,14128288000.0,8.520010983584276,3774639000.0,237217.0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,,,
DE,2005,13353239350.0,12.428346499479368,3996718622.0,256773.0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,,,
DE,2006,16126688124.0,9.879694254266953,3936867986.0,336775.0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,50.0,,
DE,2007,17600095000.0,9.658374195301182,3126095000.0,326480.0,1,0,1,0,0,2,0,2,1,0,1,0,0,1,1,50.0,,
DE,2008,17603446000.0,7.943306753086645,2752709000.0,364790.0,1,0,2,0,1,1,3,4,1,0,2,0,1,1,3,50.0,,
DE,2009,29018854346.0,12.96865400727685,5274183248.0,688393.0,4,0,1,0,0,3,0,3,1,1,1,0,0,3,0,50.0,,
DE,2010,35444151486.0,8.020448046338526,6445597545.0,667373.0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,50.0,,
DE,2011,20480204196.0,6.2279641852695296,2620012211.0,541938.0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,50.0,,
DE,2012,28710787117.0,6.626018806571173,2672176571.0,579364.0,2,0,0,0,0,1,0,1,0,0,0,1,0,0,1,50.0,,
DE,2013,24855117963.0,9.533059940227941,2926995069.0,598130.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,,
DE,2014,23965785679.0,11.572584846251958,3277505535.0,694220.0,4,0,0,0,0,2,0,2,1,0,1,0,0,2,0,62.0,,
DE,2015,23472683000.0,5.617889613700119,4066397000.0,712440.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.0,,
DE,2016,20948919000.0,5.7251322378666405,4477464000.0,743982.0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,62.0,,
DE,2017,35034648674.0,10.333824653359196,4685234708.0,839207.0,3,0,0,0,0,2,0,2,1,0,0,1,0,1,1,62.0,,
DE,2018,31540558971.0,5.759327955746158,5127664766.0,846757.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0,,
DE,2019,38733456000.0,3.4462264743280664,4690964000.0,836974.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0,,
DE,2020,1841000000.0,2.136917170287378,1113000000.0,46665.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0,,
ES,1989,106162778.0,-0.3296631855426079,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
ES,1990,106048171.0,-0.3296631855426079,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
ES,1991,86871107.0,-0.3296631855426079,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
ES,1992,53043916.0,-0.3296631855426079,0.0,2051.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
ES,1993,46323831.0,-0.3296631855426079,0.0,1688.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
ES,1994,79008408.0,-0.3296631855426079,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
ES,1996,78186698.0,-0.3296631855426079,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
ES,1997,109742695.0,-0.3296631855426079,0.0,1560.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
ES,1998,4366665.0,-0.3296631855426079,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
ES,1999,6035856.0,-0.3296631855426079,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
ES,2000,427616498.0,-0.9889895566278236,0.0,44947.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
ES,2001,716796047.0,-0.9889895566278236,0.0,47651.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
ES,2002,6564382000.0,-1.3148226484501986,6000000.0,78784.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
ES,2003,7225109000.0,-0.9468585257052617,3000000.0,69340.0,1,0,1,0,0,2,0,2,0,0,2,0,0,1,1,,,
ES,2004,18755083000.0,-4.450590567626496,15220000.0,271934.0,5,0,0,0,0,5,0,5,1,1,1,2,0,3,2,,,
ES,2005,24217981000.0,-4.78107912997684,143345000.0,313599.0,4,0,0,1,0,4,1,5,0,0,4,1,0,4,1,,,
ES,2006,27859453000.0,-4.401624726071204,279572000.0,338543.0,5,2,0,0,0,7,0,7,3,2,1,0,1,6,1,53.333333333333,,
ES,2007,44256784000.0,-7.31716225633411,420221000.0,494716.0,14,0,0,0,1,14,1,15,0,3,0,0,12,3,12,53.333333333333,,
ES,2008,32875953000.0,-4.008764994144753,377678000.0,351274.0,2,0,0,0,1,2,1,3,0,1,1,0,1,2,1,53.333333333333,,
ES,2009,31241372000.0,-3.484042154472847,415665000.0,355290.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.333333333333,,
ES,2010,60191469000.0,-4.775884240601648,831159000.0,639662.0,6,0,0,0,0,6,0,6,0,5,1,0,0,6,0,53.333333333333,,
ES,2011,36151343000.0,-4.08673166420437,388837000.0,415323.0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,53.333333333333,,
ES,2012,34897573000.0,-3.9584235245765687,432585000.0,415790.0,1,0,0,1,0,1,1,2,1,0,0,1,0,1,1,53.333333333333,,
ES,2013,33134632000.0,-4.00055455549913,398984000.0,416657.0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,53.333333333333,,
ES,2014,27217916000.0,-4.2612760540775465,476064000.0,454546.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.0,,
