countrycode,closing_date,ebitda,r_d_expenses_operating_revenue,research_development_expenses,number_of_employees,"Deal value
m EUR",Acquired stake (%)_0_10,Acquired stake (%)_10_20,Acquired stake (%)_20_30,Acquired stake (%)_30_40,Acquired stake (%)_40_50,Acquired stake (%)_0_25,Acquired stake (%)_25_50,Acquired stake (%)_0_50,Total deal value for Acquired stake (%)0_10,Total deal value for Acquired stake (%)_10_20,Total deal value for Acquired stake (%)_20_30,Total deal value for Acquired stake (%)_30_40,Total deal value for Acquired stake (%)_40_50,Total deal value for Acquired stake (%)_0_25,Total deal value for Acquired stake (%)_25_50,Total deal value for Acquired stake (%)_0_50,Final stake (%)_0_10,Final stake (%)_10_20,Final stake (%)_20_30,Final stake (%)_30_40,Final stake (%)_40_50,Final stake (%)_0_25,Final stake (%)_25_50,Score-protecting minority investors,Reform,is_reform
FR,2005,23949071000.0,-4.0590104654657475,1896518000.0,666992.0,178.86,2,0,1,1,0,3,1,4,0.0,0.0,1.01,176.84,0.0,1.01,176.84,177.85,1,1,1,1,0,3,1,,,
FR,2006,22188273000.0,5.761147966390595,1875033000.0,655349.0,193.9,2,0,0,0,0,2,0,2,193.9,0.0,0.0,0.0,0.0,193.9,0.0,193.9,1,0,0,0,1,1,1,53.333333333333,,
FR,2007,23882693000.0,5.47723514007558,1852151000.0,717661.0,104.30999999999999,4,1,0,0,0,5,0,5,98.94,5.37,0.0,0.0,0.0,104.30999999999999,0.0,104.30999999999999,2,2,0,1,0,4,1,53.333333333333,,
FR,2008,22796397000.0,8.00180089679719,2128932000.0,739507.0,0.35,1,1,0,0,0,2,0,2,0.35,0.0,0.0,0.0,0.0,0.35,0.0,0.35,0,2,0,0,0,2,0,53.333333333333,,
FR,2009,22426803000.0,9.971446129357629,2137948000.0,727789.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,53.333333333333,,
FR,2010,28702699000.0,8.56188531929377,2426846000.0,802689.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,53.333333333333,,
FR,2011,28483148000.0,8.404766303659278,2612205000.0,900982.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,53.333333333333,,
FR,2012,28942335000.0,7.355255807454944,1892073000.0,1094183.0,0.6,1,0,0,0,0,1,0,1,0.6,0.0,0.0,0.0,0.0,0.6,0.0,0.6,0,1,0,0,0,1,0,53.333333333333,,
FR,2013,25766143000.0,7.962765653600671,2671099000.0,1095810.0,4.3,0,0,0,1,0,0,1,1,0.0,0.0,0.0,4.3,0.0,0.0,4.3,4.3,0,0,0,1,0,0,1,53.333333333333,,
FR,2014,22786421000.0,9.128422306024783,2785006000.0,756676.0,158.37,0,1,0,0,0,1,0,1,0.0,158.37,0.0,0.0,0.0,158.37,0.0,158.37,0,1,0,0,0,1,0,68.0,,
FR,2015,29685362000.0,9.531702953307141,2998606000.0,1138417.0,2939.7200000000003,7,0,0,0,0,7,0,7,2939.7200000000003,0.0,0.0,0.0,0.0,2939.7200000000003,0.0,2939.7200000000003,1,3,0,1,2,4,3,68.0,,
FR,2016,15552780000.0,9.384267401393954,3287629000.0,320100.0,38.56,1,0,0,0,0,1,0,1,38.56,0.0,0.0,0.0,0.0,38.56,0.0,38.56,0,0,0,1,0,0,1,68.0,,
