countrycode,closing_date,ebitda,r_d_expenses_operating_revenue,research_development_expenses,number_of_employees,Acquired stake (%)_0_10,Acquired stake (%)_10_20,Acquired stake (%)_20_30,Acquired stake (%)_30_40,Acquired stake (%)_40_50,Acquired stake (%)_0_25,Acquired stake (%)_25_50,Acquired stake (%)_0_50,Final stake (%)_0_10,Final stake (%)_10_20,Final stake (%)_20_30,Final stake (%)_30_40,Final stake (%)_40_50,Final stake (%)_0_25,Final stake (%)_25_50,Score-protecting minority investors,Reform,is_reform
IT,2004,8559281000.0,-10.830427389259691,3801000.0,148701.0,5,1,0,0,1,6,1,7,5,1,0,0,1,6,1,,,
IT,2005,11413503000.0,-6.603341752621429,2300550000.0,150445.0,7,0,1,1,0,8,1,9,4,1,1,1,2,6,3,,,
IT,2006,9860714000.0,-7.022270834052615,1985322000.0,120259.0,3,0,1,1,1,4,2,6,2,0,2,1,1,2,4,56.666666666667,,
IT,2007,11606918000.0,-8.121712607769958,2040831000.0,136188.0,3,0,1,1,0,3,2,5,2,1,1,1,0,3,2,56.666666666667,,
IT,2008,10041279000.0,-7.853322735747613,1994866000.0,159133.0,3,0,0,1,0,3,1,4,2,0,1,1,0,3,1,56.666666666667,,
IT,2009,11313539000.0,-2.564123225696338,2324453000.0,161385.0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,56.666666666667,,
IT,2010,10853467000.0,-6.591071989328206,2232938000.0,161301.0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,56.666666666667,,
IT,2011,8623158000.0,-6.87911995868321,2230637000.0,186567.0,1,1,0,0,0,2,0,2,0,0,1,0,1,0,2,56.666666666667,,
IT,2012,12190607000.0,-7.560796796713493,2131552000.0,191221.0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,56.666666666667,,
IT,2013,11362876000.0,-7.569672044156794,1765046000.0,180714.0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,56.666666666667,,
IT,2014,12430416000.0,-7.445677885162919,1791030000.0,187376.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.0,,
IT,2015,13470578000.0,-7.598286080847688,1662814000.0,182348.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.0,,
IT,2016,12099506000.0,-5.90118266864162,1446188000.0,171733.0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,66.0,,
IT,2017,11718802000.0,-6.635868915586907,4907000.0,127285.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.0,,
JP,1991,0.0,-0.3116019634947165,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
JP,1992,393169992.0,-0.3116019634947165,0.0,9685.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
JP,1993,1564133903.0,-0.9348058904841496,0.0,33868.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
JP,1994,1094890819.0,-0.9348058904841496,0.0,11200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
JP,1995,1931680912.0,-1.246407853978866,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
JP,1996,5445176520.0,-0.22965575022908596,478293095.0,13326.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
JP,1997,4537122552.0,-0.1438136401564028,442529042.0,12512.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
JP,1998,4975353873.0,-0.9832394083375711,429646048.0,20619.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
JP,1999,5938504358.0,-0.9833201002525043,968128219.0,42557.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
JP,2000,11917984328.0,-0.11618513591223917,1211307046.0,128518.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
JP,2001,12303668001.0,15.366838386307005,1678403115.0,131654.0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,,,
JP,2002,12032720556.0,6.877765425596875,1967935734.0,212555.0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,,,
JP,2003,11998320291.0,-2.0914412786482175,1604475109.0,150057.0,1,0,2,0,0,3,0,3,0,1,2,0,0,3,0,,,
JP,2004,13068750339.0,-4.8977665525467255,1419055997.0,182312.0,2,1,1,1,0,3,2,5,1,2,1,1,0,3,2,,,
JP,2005,14523358438.0,1.4023008700862853,1165387908.0,221456.0,5,1,0,0,1,5,1,6,3,0,1,0,2,4,2,,,
JP,2006,11456994155.0,6.221584643087427,1173536316.0,219001.0,4,1,1,1,0,5,2,7,3,2,1,1,0,5,2,70.0,,
JP,2007,225298564038.0,17.15271063921425,44849209994.0,5470323.0,23,12,5,6,2,38,10,48,18,10,10,7,3,35,13,70.0,,
JP,2008,233794288171.0,12.035373962605743,50070479253.0,5998681.0,24,14,5,4,2,40,7,47,11,18,5,7,6,32,15,70.0,,
JP,2009,198338633633.0,15.147514930213388,59454546946.0,6089893.0,27,17,4,8,1,44,10,54,14,16,12,8,4,37,17,70.0,,
JP,2010,209043702303.0,14.94687667624986,51108091287.0,5724131.0,17,9,4,4,1,28,7,35,14,7,7,5,2,27,8,70.0,,
JP,2011,254030594643.0,-10.516786306200748,54680715014.0,5614591.0,23,4,1,2,1,27,4,31,15,11,1,3,1,27,4,70.0,,
JP,2012,294766050385.0,11.299073014162426,78208114296.0,8224200.0,45,8,8,3,2,38,6,44,18,11,7,4,4,34,10,70.0,,
JP,2013,308214654278.0,15.52258552165337,81425080716.0,7270826.0,36,10,4,4,1,32,5,37,10,11,9,6,1,27,10,70.0,,
JP,2014,321256387221.0,-25.663375437390798,63238122621.0,7422718.0,44,13,4,2,1,39,3,42,14,16,8,3,1,35,7,64.0,,
JP,2015,357564098753.0,-31.146309018855764,70322683713.0,7399883.0,23,13,6,10,2,28,15,43,8,15,3,13,4,24,19,64.0,,
JP,2016,347886675881.0,1.2648420721440008,73665936381.0,7178535.0,23,6,5,3,1,19,7,26,10,6,5,3,2,18,8,64.0,,
JP,2017,389669176889.0,-22.15679868195854,78944285307.0,7118094.0,31,8,4,6,1,24,10,34,11,9,3,8,3,21,13,64.0,,
JP,2018,13707660275.0,-5.694095380105516,7062213.0,259474.0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,64.0,,
KR,1993,1495000.0,-0.3096943610486569,3000.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
KR,1994,3129000.0,-0.2772651194656433,217000.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
KR,1995,36320000.0,-0.5850518780682405,330000.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
KR,1996,52685000.0,-0.9100070586853743,200000.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
KR,1997,31349669.0,-0.8057516889390928,1791454.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
KR,1998,-18776000.0,-0.5621606487155251,382000.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
KR,1999,121394084.0,-0.9132401907054293,2577000.0,1800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
KR,2000,219584807.0,-1.5586725822605803,5978373.0,0.0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,,,
KR,2001,1074525926.0,-11.163479901683132,52856221.0,7378.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
